cleaned_name,occurrences,correct_name
saojosédoriopreto,673,Sao Jose Do Rio Preto
votuporanga,672,Votuporanga
itanhaem,669,Itanhaem
paracatu,668,Paracatu
erechim,667,Erechim
uberlândia,666,Uberlandia
araxa,665,Araxa
birigui,660,Birigui
alvorada,654,Alvorada
jaraguadosul,654,Jaragua Do Sul
amparo,651,Amparo
patobranco,648,Pato Branco
saoroque,645,Sao Roque
novaiguaçu,645,Nova Iguacu
queimados,639,Queimados
mogimirim,637,Mogi Mirim
brusque,637,Brusque
sinop,632,Sinop
marica,631,Marica
coronelfabriciano,631,Coronel Fabriciano
pirassununga,630,Pirassununga
bebedouro,627,Bebedouro
leme,626,Leme
rondonopolis,616,Rondonopolis
tubarao,610,Tubarao
cajamar,609,Cajamar
lins,606,Lins
alfenas,605,Alfenas
bertioga,602,Bertioga
carapicuíba,596,Carapicuiba
ituiutaba,596,Ituiutaba
caruaru,593,Caruaru
itapira,591,Itapira
ananindeua,590,Ananindeua
itapeva,589,Itapeva
franciscobeltrao,588,Francisco Beltrao
bentogoncalves,588,Bento Goncalves
mairipora,587,Mairipora
tupa,585,Tupa
itaperuna,585,Itaperuna
colatina,583,Colatina
avare,582,Avare
boavista,582,Boa Vista
paulista,581,Paulista
aruja,575,Aruja
passos,573,Passos
lajeado,567,Lajeado
camposdojordao,561,Campos Do Jordao
bage,559,Bage
paranagua,558,Paranagua
apucarana,558,Apucarana
joaomonlevade,556,Joao Monlevade
sapucaiadosul,552,Sapucaia Do Sul
jaguariuna,551,Jaguariuna
saogonçalo,551,Sao Goncalo
saopedrodaaldeia,551,Sao Pedro Da Aldeia
mogi-guacu,550,Mogi Guacu
ilheus,550,Ilheus
ouropreto,546,Ouro Preto
araguari,546,Araguari
uruguaiana,544,Uruguaiana
andradina,538,Andradina
petrolina,538,Petrolina
unai,532,Unai
ilhabela,531,Ilhabela
parnamirim,528,Parnamirim
lagoasanta,527,Lagoa Santa
macapa,525,Macapa
jaboticabal,518,Jaboticabal
matao,515,Matao
imperatriz,509,Imperatriz
sabara,504,Sabara
caratinga,504,Caratinga
mariana,502,Mariana
valenca,501,Valenca
santarem,501,Santarem
umuarama,500,Umuarama
santarosa,500,Santa Rosa
itaborai,498,Itaborai
vitória,498,Vitoria
vespasiano,497,Vespasiano
itauna,497,Itauna
registro,495,Registro
manhuacu,495,Manhuacu
mauá,492,Maua
boituva,490,Boituva
timoteo,489,Timoteo
araucaria,488,Araucaria
guarapari,486,Guarapari
barreiras,486,Barreiras
pontenova,482,Ponte Nova
curvelo,481,Curvelo
campomourao,481,Campo Mourao
campolargo,480,Campo Largo
sorriso,475,Sorriso
itapema,472,Itapema
juazeiro,466,Juazeiro
alegrete,466,Alegrete
guarujá,461,Guaruja
saquarema,461,Saquarema
fernandopolis,459,Fernandopolis
esteio,450,Esteio
juazeirodonorte,449,Juazeiro Do Norte
primaveradoleste,446,Primavera Do Leste
santoangelo,446,Santo Ângelo
formiga,445,Formiga
cataguases,443,Cataguases
camacari,443,Camacari
novaserrana,436,Nova Serrana
belém,436,Belem
pauloafonso,434,Paulo Afonso
vargemgrandepaulista,432,Vargem Grande Paulista
ibirite,432,Ibirite
videira,432,Videira
vinhedo,431,Vinhedo
muriae,431,Muriae
santanadeparnaíba,429,Santana De Parnaiba
peruibe,429,Peruibe
ijui,429,Ijui
santabarbarad'oeste,425,Santa Barbara D'Oeste
saomateus,424,Sao Mateus
itaguai,423,Itaguai
patrocinio,421,Patrocinio
riodosul,421,Rio Do Sul
itatiba,419,Itatiba
alagoinhas,419,Alagoinhas
concordia,417,Concordia
ourobranco,416,Ouro Branco
treslagoas,414,Tres Lagoas
portoseguro,413,Porto Seguro
parademinas,412,Para De Minas
mirassol,411,Mirassol
uba,411,Uba
congonhas,409,Congonhas
formosa,409,Formosa
pedreira,408,Pedreira
telemacoborba,408,Telemaco Borba
cuiabá,406,Cuiaba
maringá,406,Maringa
