cleaned_name,occurrences,correct_name
recreio,45,Recreio
montebelo,45,Monte Belo
guape,45,Guape
mariadafe,45,Maria Da Fe
buenobrandao,45,Bueno Brandao
arapora,45,Arapora
tiros,45,Tiros
virgemdalapa,45,Virgem Da Lapa
abrantes,45,CHECK_MANUALLY
saomiguel,45,Sao Miguel
pacajus,45,Pacajus
saojoaodospatos,45,Sao Joao Dos Patos
moju,45,Moju
iaciara,45,Iaciara
cerejeiras,45,Cerejeiras
saojosedorioclaro,45,Sao Jose Do Rio Claro
generalcarneiro,45,General Carneiro
gauchadonorte,45,Gaucha Do Norte
tibagi,45,Tibagi
paulofrontin,45,Paulo Frontin
balneáriopiçarras,45,Balneario Picarras
balnearioarroiodosilva,45,Balneario Arroio Do Silva
laurentino,45,Laurentino
garuva,45,Garuva
seberi,45,Seberi
poloni,44,Poloni
galia,44,Galia
pauliceia,44,Pauliceia
presidenteepitácio,44,Presidente Epitacio
seropédica,44,Seropedica
goitacazes,44,CHECK_MANUALLY
marataízes,44,Marataizes
saopedrodosferros,44,Sao Pedro Dos Ferros
pimenta,44,Pimenta
araujos,44,Araujos
santacruzdeminas,44,Santa Cruz De Minas
brasopolis,44,CHECK_MANUALLY
janaúba,44,Janauba
montalvania,44,Montalvania
matoverde,44,Mato Verde
santamariadosuacui,44,Santa Maria Do Suacui
mataverde,44,Mata Verde
saltodadivisa,44,Salto Da Divisa
novafatima,44,Nova Fatima
presidentetancredoneves,44,Presidente Tancredo Neves
cacule,44,Cacule
formosadoriopreto,44,Formosa Do Rio Preto
cansancao,44,Cansancao
toritama,44,Toritama
granja,44,Granja
altos,44,Altos
saofelixdoaraguaia,44,Sao Felix Do Araguaia
naviraí,44,Navirai
quitandinha,44,Quitandinha
uniaodavitória,44,Uniao Da Vitoria
novapratadoiguacu,44,Nova Prata Do Iguacu
engenheirobeltrao,44,Engenheiro Beltrao
lontras,44,Lontras
timbó,44,Timbo
saltoveloso,44,Salto Veloso
balneariopinhal,44,Balneario Pinhal
chui,44,Chui
piratini,44,Piratini
constantina,44,Constantina
várzeapaulista,43,Varzea Paulista
irapua,43,Irapua
riolandia,43,Riolandia
cosmorama,43,Cosmorama
piacatu,43,Piacatu
altoalegre,43,Alto Alegre
ibiúna,43,Ibiuna
ubaporanga,43,Ubaporanga
caetanopolis,43,Caetanopolis
simonesia,43,Simonesia
ilicinea,43,Ilicinea
carneirinho,43,Carneirinho
milagres,43,Milagres
paramirim,43,Paramirim
rioreal,43,Rio Real
monteiro,43,Monteiro
jaguaruana,43,Jaguaruana
uruara,43,Uruara
planaltina,43,Planaltina
acreuna,43,Acreuna
jauru,43,Jauru
fatimadosul,43,Fatima Do Sul
senges,43,Senges
rioazul,43,Rio Azul
campoere,43,Campo Ere
santabarbaradosul,43,Santa Barbara Do Sul
rafard,42,Rafard
irapuru,42,Irapuru
areiopolis,42,Areiopolis
comendadorlevygasparian,42,Comendador Levy Gasparian
trajanodemoraes,42,Trajano De Moraes
mariocampos,42,Mario Campos
domcavati,42,Dom Cavati
saogoncalodopara,42,Sao Goncalo Do Para
pirauba,42,Pirauba
trêspontas,42,Tres Pontas
cachoeira,42,Cachoeira
correntina,42,Correntina
simaodias,42,Simao Dias
propria,42,Propria
catende,42,Catende
taquaritingadonorte,42,Taquaritinga Do Norte
campoalegre,42,Campo Alegre
aguabranca,42,Água Branca
pedrabranca,42,Pedra Branca
parelhas,42,Parelhas
varzeaalegre,42,Varzea Alegre
valencadopiaui,42,Valenca Do Piaui
zedoca,42,Ze Doca
lagodapedra,42,Lago Da Pedra
parintins,42,Parintins
altotaquari,42,Alto Taquari
vera,42,Vera
pedrodetoledo,41,Pedro De Toledo
setebarras,41,Sete Barras
ribeiraobonito,41,Ribeirao Bonito
aramina,41,Aramina
jardinópolis,41,Jardinopolis
itapura,41,Itapura
herculandia,41,Herculandia
ribeiraobranco,41,Ribeirao Branco
pardinho,41,Pardinho
moema,41,Moema
saogeraldo,41,Sao Geraldo
laranjal,41,Laranjal
santamargarida,41,Santa Margarida
alterosa,41,Alterosa
conquista,41,Conquista
cachoeiradourada,41,Cachoeira Dourada
simõesfilho,41,Simoes Filho
barroalto,41,Barro Alto
coaraci,41,Coaraci
carinhanha,41,Carinhanha
areiabranca,41,Areia Branca
santanadoipanema,41,Santana Do Ipanema
acarau,41,Acarau
taua,41,Taua
arari,41,Arari
pedrogomes,41,Pedro Gomes
saomartinho,41,Sao Martinho
rondon,41,Rondon
luizalves,41,Luiz Alves
joaçaba,41,Joacaba
chapada,41,Chapada
buritizal,40,Buritizal
getulina,40,Getulina
campinadomontealegre,40,Campina Do Monte Alegre
arandu,40,Arandu
vilamuriqui,40,CHECK_MANUALLY
vargemalegre,40,Vargem Alegre
boaesperança,40,Boa Esperanca
bomjesusdonorte,40,Bom Jesus Do Norte
jeronimomonteiro,40,Jeronimo Monteiro
itatiaiucu,40,Itatiaiucu
prados,40,Prados
miradouro,40,Miradouro
santanadavargem,40,Santana Da Vargem
cristina,40,Cristina
carmodeminas,40,Carmo De Minas
inconfidentes,40,Inconfidentes
coronelmurta,40,Coronel Murta
irecê,40,Irece
barradochoca,40,Barra Do Choca
ubaitaba,40,Ubaitaba
conde,40,Conde
novorepartimento,40,Novo Repartimento
belavistadegoias,40,Bela Vista De Goias
guajara-mirim,40,Guajara-Mirim
machadinhod'oeste,40,Machadinho D'Oeste
itaquirai,40,Itaquirai
coronelsapucaia,40,Coronel Sapucaia
altoparana,40,Alto Parana
morrodafumaca,40,Morro Da Fumaca
passodetorres,40,Passo De Torres
irani,40,Irani
terradeareia,40,Terra De Areia
saltodojacui,40,Salto Do Jacui
itariri,39,Itariri
montealegredosul,39,Monte Alegre Do Sul
santaalbertina,39,Santa Albertina
armacaodebuzios,39,CHECK_MANUALLY
novavenécia,39,Nova Venecia
abrecampo,39,Abre Campo
urucania,39,Urucania
ipuiuna,39,Ipuiuna
limeiradooeste,39,Limeira Do Oeste
buenopolis,39,Buenopolis
divinolandiademinas,39,Divinolandia De Minas
muritiba,39,Muritiba
una,39,Una
paratinga,39,Paratinga
aguasbelas,39,Águas Belas
novaolinda,39,Nova Olinda
itarema,39,Itarema
baturite,39,Baturite
cantodoburiti,39,Canto Do Buriti
tutoia,39,Tutoia
carolina,39,Carolina
alvoradadonorte,39,Alvorada Do Norte
pedrapreta,39,Pedra Preta
anastacio,39,Anastacio
setequedas,39,Sete Quedas
tomazina,39,Tomazina
guaraniacu,39,Guaraniacu
guairaca,39,Guairaca
montecarlo,39,Monte Carlo
rocasales,39,Roca Sales
saovicentedosul,39,Sao Vicente Do Sul
ajuricaba,39,Ajuricaba
rondaalta,39,Ronda Alta
vargem,38,Vargem
rincao,38,Rincao
guaranta,38,Guaranta
pereiras,38,Pereiras
euclidesdacunhapaulista,38,Euclides Da Cunha Paulista
riodasflores,38,Rio Das Flores
varre-sai,38,Varre-Sai
macuco,38,Macuco
conceicaodocastelo,38,Conceicao Do Castelo
itabirinha,38,Itabirinha
eugenopolis,38,Eugenopolis
pocrane,38,Pocrane
virginia,38,Virginia
pilar,38,Pilar
joaima,38,Joaima
miguelcalmon,38,Miguel Calmon
mutuipe,38,Mutuipe
postodamata,38,CHECK_MANUALLY
cocos,38,Cocos
coribe,38,Coribe
montesanto,38,Monte Santo
sertania,38,Sertania
vicosadoceara,38,Vicosa Do Ceara
maedorio,38,Mae Do Rio
neropolis,38,Neropolis
mozarlandia,38,Mozarlandia
apiacas,38,Apiacas
bodoquena,38,Bodoquena
mandirituba,38,Mandirituba
renascenca,38,Renascenca
braçodonorte,38,Braco Do Norte
apiuna,38,Apiuna
luzerna,38,Luzerna
ita,38,Ita
quilombo,38,Quilombo
agudo,38,Agudo
dumont,37,Dumont
sales,37,Sales
sudmennucci,37,Sud Mennucci
orindiuva,37,Orindiuva
santamariadaserra,37,Santa Maria Da Serra
saopedrodoturvo,37,Sao Pedro Do Turvo
saojosedocalcado,37,Sao Jose Do Calcado
pancas,37,Pancas
confins,37,Confins
independencia,37,Independencia
jeceaba,37,Jeceaba
jaboticatubas,37,Jaboticatubas
santoantoniodoamparo,37,Santo Antonio Do Amparo
santaritadecaldas,37,Santa Rita De Caldas
lagamar,37,Lagamar
jordania,37,Jordania
itubera,37,Itubera
utinga,37,Utinga
serradoramalho,37,Serra Do Ramalho
paripiranga,37,Paripiranga
itiuba,37,Itiuba
jaguarari,37,Jaguarari
nossasenhoradagloria,37,Nossa Senhora Da Gloria
maragogi,37,Maragogi
santaceciliadeumbuzeiro,37,CHECK_MANUALLY
sume,37,Sume
princesaisabel,37,Princesa Isabel
vitorinofreire,37,Vitorino Freire
ceilandia,37,CHECK_MANUALLY
brasilandia,37,Brasilandia
campomagro,37,Campo Magro
santaizabeldooeste,37,Santa Izabel Do Oeste
tupassi,37,Tupassi
santoantôniodaplatina,37,Santo Antonio Da Platina
roncador,37,Roncador
sangao,37,Sangao
beneditonovo,37,Benedito Novo
tresbarras,37,Tres Barras
antagorda,37,Anta Gorda
morungaba,36,Morungaba
serraazul,36,Serra Azul
palmeirad'oeste,36,Palmeira D'Oeste
cafelândia,36,Cafelandia
ouroverde,36,Ouro Verde
santoantôniodepádua,36,Santo Antonio De Padua
itarana,36,Itarana
vilavalerio,36,Vila Valerio
mantenopolis,36,Mantenopolis
freiinocencio,36,Frei Inocencio
sericita,36,Sericita
prudentedemorais,36,Prudente De Morais
nazareno,36,Nazareno
teixeiras,36,Teixeiras
rodeiro,36,Rodeiro
monteverde,36,CHECK_MANUALLY
guaxupé,36,Guaxupe
indianopolis,36,Indianopolis
guarda-mor,36,Guarda-Mor
trêsmarias,36,Tres Marias
januária,36,Januaria
franciscosa,36,Francisco Sa
santainês,36,Santa Ines
ibirataia,36,Ibirataia
oliveiradosbrejinhos,36,Oliveira Dos Brejinhos
paudalho,36,Paudalho
esperanca,36,Esperanca
santaquiteria,36,Santa Quiteria
varjota,36,Varjota
jaguaribe,36,Jaguaribe
presidentemedici,36,Presidente Medici
itapecurumirim,36,Itapecuru Mirim
coelhoneto,36,Coelho Neto
capitaopoco,36,Capitao Poco
luziânia,36,Luziania
joviania,36,Joviania
sanclerlandia,36,Sanclerlandia
lagoadaconfusao,36,Lagoa Da Confusao
curiuva,36,Curiuva
pinhalao,36,Pinhalao
saojorged'oeste,36,Sao Jorge D'Oeste
rolândia,36,Rolandia
balneariogaivota,36,Balneario Gaivota
mondai,36,Mondai
capivaridosul,36,Capivari Do Sul
tramandaí,36,Tramandai
venâncioaires,36,Venancio Aires
arroiodotigre,36,Arroio Do Tigre
faxinaldosoturno,36,Faxinal Do Soturno
tuparendi,36,Tuparendi
jacare,35,CHECK_MANUALLY
josébonifácio,35,Jose Bonifacio
estreladonorte,35,Estrela Do Norte
saltogrande,35,Salto Grande
governadorportela,35,CHECK_MANUALLY
catasaltas,35,Catas Altas
portofirme,35,Porto Firme
palma,35,Palma
voltagrande,35,Volta Grande
madrededeusdeminas,35,Madre De Deus De Minas
tapira,35,Tapira
buritirama,35,Buritirama
novasoure,35,Nova Soure
marechaldeodoro,35,Marechal Deodoro
batalha,35,Batalha
novarussas,35,Nova Russas
aurora,35,Aurora
juruti,35,Juruti
goianesiadopara,35,Goianesia Do Para
feliznatal,35,Feliz Natal
aguaclara,35,Água Clara
ventania,35,Ventania
veracruzdooeste,35,Vera Cruz Do Oeste
diamantedonorte,35,Diamante Do Norte
estânciavelha,35,Estancia Velha
campinadasmissoes,35,Campina Das Missoes
guaporé,35,Guapore
queluz,34,Queluz
águasdelindóia,34,Águas De Lindoia
patrociniopaulista,34,Patrocinio Paulista
taiuva,34,Taiuva
nipoa,34,Nipoa
pirajuí,34,Pirajui
iporanga,34,Iporanga
tarabai,34,Tarabai
indiana,34,Indiana
cândidomota,34,Candido Mota
apiaca,34,Apiaca
itaguacu,34,Itaguacu
engenheirocaldas,34,Engenheiro Caldas
saojoaodooriente,34,Sao Joao Do Oriente
saojoaodomanteninha,34,Sao Joao Do Manteninha
bonfim,34,Bonfim
capimbranco,34,Capim Branco
coimbra,34,Coimbra
campoflorido,34,Campo Florido
centralina,34,Centralina
gouveia,34,Gouveia
berilo,34,Berilo
itaipe,34,Itaipe
serradosaimores,34,Serra Dos Aimores
maragogipe,34,Maragogipe
pintadas,34,Pintadas
serrolandia,34,Serrolandia
itajuipe,34,Itajuipe
piata,34,Piata
ipupiara,34,Ipupiara
custodia,34,Custodia
macaiba,34,Macaiba
luzilandia,34,Luzilandia
igarape-miri,34,Igarape-Miri
águaslindasdegoiás,34,Águas Lindas De Goias
novaveneza,34,Nova Veneza
cotriguacu,34,Cotriguacu
claudia,34,Claudia
saojoaodotriunfo,34,Sao Joao Do Triunfo
figueira,34,Figueira
centenariodosul,34,Centenario Do Sul
lobato,34,Lobato
barbosaferraz,34,Barbosa Ferraz
juranda,34,Juranda
santaisabeldoivai,34,Santa Isabel Do Ivai
agrolandia,34,Agrolandia
alfredowagner,34,Alfredo Wagner
veranópolis,34,Veranopolis
santavitóriadopalmar,34,Santa Vitoria Do Palmar
boavistadoburica,34,Boa Vista Do Burica
tucunduva,34,Tucunduva
aguaí,33,Aguai
tresfronteiras,33,Tres Fronteiras
santaernestina,33,Santa Ernestina
inubiapaulista,33,Inubia Paulista
echapora,33,Echapora
jequeri,33,Jequeri
passatempo,33,Passa Tempo
estiva,33,Estiva
bonfinopolisdeminas,33,Bonfinopolis De Minas
matutina,33,Matutina
saojoaodaponte,33,Sao Joao Da Ponte
itaparica,33,Itaparica
itagi,33,Itagi
urucuca,33,Urucuca
macarani,33,Macarani
barradoscoqueiros,33,Barra Dos Coqueiros
aracoiaba,33,Aracoiaba
jatoba,33,Jatoba
saojosedobelmonte,33,Sao Jose Do Belmonte
teotoniovilela,33,Teotonio Vilela
sape,33,Sape
novacruz,33,Nova Cruz
paraipaba,33,Paraipaba
itapaje,33,Itapaje
paulistana,33,Paulistana
colinas,33,Colinas
breubranco,33,Breu Branco
cidadeocidental,33,Cidade Ocidental
cacu,33,Cacu
mararosa,33,Mara Rosa
nioaque,33,Nioaque
gloriadedourados,33,Gloria De Dourados
angelica,33,Angelica
alvoradadosul,33,Alvorada Do Sul
congonhinhas,33,Congonhinhas
paranacity,33,Paranacity
saocarlosdoivai,33,Sao Carlos Do Ivai
santacruzdemontecastelo,33,Santa Cruz De Monte Castelo
aguadoce,33,Água Doce
palmasola,33,Palma Sola
palmaresdosul,33,Palmares Do Sul
herval,33,Herval
sertao,33,Sertao
pariquera-açu,32,Pariquera-Acu
ibaté,32,Ibate
jaci,32,Jaci
ubarana,32,Ubarana
fernandoprestes,32,Fernando Prestes
presidentealves,32,Presidente Alves
doiscórregos,32,Dois Corregos
saovicentedepaula,32,CHECK_MANUALLY
coqueiral,32,Coqueiral
ibiracu,32,Ibiracu
santabarbaradoleste,32,Santa Barbara Do Leste
maravilhas,32,Maravilhas
riovermelho,32,Rio Vermelho
coroaci,32,Coroaci
ladainha,32,Ladainha
jacinto,32,Jacinto
ameliarodrigues,32,Amelia Rodrigues
capeladoaltoalegre,32,Capela Do Alto Alegre
candidosales,32,Candido Sales
itarantim,32,Itarantim
ibicarai,32,Ibicarai
trancoso,32,CHECK_MANUALLY
paubrasil,32,Pau Brasil
caetité,32,Caetite
iacu,32,Iacu
sentose,32,Sento Se
serradourada,32,Serra Dourada
crisopolis,32,Crisopolis
canindedesaofrancisco,32,Caninde De Sao Francisco
canhotinho,32,Canhotinho
joaocamara,32,Joao Camara
cocal,32,Cocal
tuntum,32,Tuntum
saomigueldoguama,32,Sao Miguel Do Guama
alexania,32,Alexania
paranaiguara,32,Paranaiguara
maurilandia,32,Maurilandia
parauna,32,Parauna
ribasdoriopardo,32,Ribas Do Rio Pardo
portomurtinho,32,Porto Murtinho
candoi,32,Candoi
sertaneja,32,Sertaneja
moreirasales,32,Moreira Sales
querenciadonorte,32,Querencia Do Norte
lebonregis,32,Lebon Regis
pedroosorio,32,Pedro Osorio
santoantoniodasmissoes,32,Santo Antonio Das Missoes
augustopestana,32,Augusto Pestana
magda,31,Magda
itaju,31,Itaju
montecastelo,31,Monte Castelo
taciba,31,Taciba
paraíbadosul,31,Paraiba Do Sul
fundao,31,Fundao
itaipava,31,CHECK_MANUALLY
saoroquedocanaa,31,Sao Roque Do Canaa
piedadedecaratinga,31,Piedade De Caratinga
paineiras,31,Paineiras
ferros,31,Ferros
caldas,31,Caldas
iraideminas,31,Irai De Minas
riachinho,31,Riachinho
saoromao,31,Sao Romao
pote,31,Pote
rubim,31,Rubim
saofelipe,31,Sao Felipe
piritiba,31,Piritiba
iguai,31,Iguai
antas,31,Antas
andorinha,31,Andorinha
itaitinga,31,Itaitinga
corrente,31,Corrente
saodomingosdomaranhao,31,Sao Domingos Do Maranhao
dompedro,31,Dom Pedro
brasilnovo,31,Brasil Novo
benevides,31,Benevides
edeia,31,Edeia
arapoema,31,Arapoema
itapora,31,Itapora
itaperucu,31,Itaperucu
ouroverdedooeste,31,Ouro Verde Do Oeste
tamarana,31,Tamarana
saosebastiaodaamoreira,31,Sao Sebastiao Da Amoreira
borrazopolis,31,Borrazopolis
mariluz,31,Mariluz
ilhota,31,Ilhota
anitagaribaldi,31,Anita Garibaldi
armazem,31,Armazem
saojoaodooeste,31,Sao Joao Do Oeste
descanso,31,Descanso
parai,31,Parai
parobé,31,Parobe
tupandi,31,Tupandi
saolourençodosul,31,Sao Lourenco Do Sul
pantanogrande,31,Pantano Grande
guaranidasmissoes,31,Guarani Das Missoes
fortalezadosvalos,31,Fortaleza Dos Valos
campinasdosul,31,Campinas Do Sul
gaurama,31,Gaurama
ibiaca,31,Ibiaca
ipeuna,30,Ipeuna
santacruzdaconceicao,30,Santa Cruz Da Conceicao
cristaispaulista,30,Cristais Paulista
adolfo,30,Adolfo
estrelad'oeste,30,Estrela D'Oeste
pedrinhaspaulista,30,Pedrinhas Paulista
santamariadejetibá,30,Santa Maria De Jetiba
iapu,30,Iapu
mendespimentel,30,Mendes Pimentel
centraldeminas,30,Central De Minas
santaritadejacutinga,30,Santa Rita De Jacutinga
martinssoares,30,Martins Soares
saojoaodomanhuacu,30,Sao Joao Do Manhuacu
cristais,30,Cristais
vargembonita,30,Vargem Bonita
cabeceiragrande,30,Cabeceira Grande
santarosadaserra,30,Santa Rosa Da Serra
pontodosvolantes,30,Ponto Dos Volantes
veredinha,30,Veredinha
araçuaí,30,Aracuai
coluna,30,Coluna
novoorientedeminas,30,Novo Oriente De Minas
caravelas,30,Caravelas
alcobaca,30,Alcobaca
cipo,30,Cipo
teofilandia,30,Teofilandia
itabaianinha,30,Itabaianinha
panelas,30,Panelas
saovicenteferrer,30,Sao Vicente Ferrer
nazaredamata,30,Nazare Da Mata
exu,30,Exu
portocalvo,30,Porto Calvo
maracanaú,30,Maracanau
forquilha,30,Forquilha
senadorpompeu,30,Senador Pompeu
vargemgrande,30,Vargem Grande
arame,30,Arame
marabá,30,Maraba
ulianopolis,30,Ulianopolis
vigia,30,Vigia
itaruma,30,Itaruma
indiara,30,Indiara
nobres,30,Nobres
novamonteverde,30,Nova Monte Verde
altoboavista,30,Alto Boa Vista
guiratinga,30,Guiratinga
pontaldoparaná,30,Pontal Do Parana
contenda,30,Contenda
mauadaserra,30,Maua Da Serra
saojoaodoivai,30,Sao Joao Do Ivai
riodocampo,30,Rio Do Campo
balneariobarradosul,30,Balneario Barra Do Sul
santoantôniodapatrulha,30,Santo Antonio Da Patrulha
imbé,30,Imbe
palmitinho,30,Palmitinho
ibirapuita,30,Ibirapuita
nonoai,30,Nonoai
natividadedaserra,29,Natividade Da Serra
areias,29,Areias
pedrabela,29,Pedra Bela
guatapara,29,Guatapara
américobrasiliense,29,Americo Brasiliense
indiapora,29,Indiapora
luiziania,29,Luiziania
itararé,29,Itarare
coronelmacedo,29,Coronel Macedo
avelar,29,CHECK_MANUALLY
presidentekennedy,29,Presidente Kennedy
vilapavao,29,Vila Pavao
itueta,29,Itueta
santaritademinas,29,Santa Rita De Minas
saodomingosdasdores,29,Sao Domingos Das Dores
merces,29,Merces
fervedouro,29,Fervedouro
patrociniodomuriae,29,Patrocinio Do Muriae
caboverde,29,Cabo Verde
ibiraci,29,Ibiraci
lontra,29,Lontra
jenipapodeminas,29,Jenipapo De Minas
conceicaodafeira,29,Conceicao Da Feira
acajutiba,29,Acajutiba
feiranova,29,Feira Nova
sirinhaem,29,Sirinhaem
saojoaquimdomonte,29,Sao Joaquim Do Monte
ipueiras,29,Ipueiras
brejo,29,Brejo
portodemoz,29,Porto De Moz
tefe,29,Tefe
simolandia,29,Simolandia
orizona,29,Orizona
montividiu,29,Montividiu
portoesperidiao,29,Porto Esperidiao
camposdejulio,29,Campos De Julio
arenapolis,29,Arenapolis
paranaita,29,Paranaita
cerroazul,29,Cerro Azul
portoamazonas,29,Porto Amazonas
boavistadaaparecida,29,Boa Vista Da Aparecida
santarosadosul,29,Santa Rosa Do Sul
saojoaodosul,29,Sao Joao Do Sul
arroiotrinta,29,Arroio Trinta
trêscoroas,29,Tres Coroas
doutormauriciocardoso,29,Doutor Mauricio Cardoso
estacao,29,Estacao
analandia,28,Analandia
santoantoniodaalegria,28,Santo Antonio Da Alegria
gaviaopeixoto,28,Gaviao Peixoto
lavinia,28,Lavinia
araçoiabadaserra,28,Aracoiaba Da Serra
apiaí,28,Apiai
governadorlindenberg,28,Governador Lindenberg
igarapé,28,Igarape
cuparaque,28,Cuparaque
alvarenga,28,Alvarenga
guidoval,28,Guidoval
senadorfirmino,28,Senador Firmino
saofranciscodesales,28,Sao Francisco De Sales
datas,28,Datas
coracaodejesus,28,Coracao De Jesus
castroalves,28,Castro Alves
mairi,28,Mairi
cafarnaum,28,Cafarnaum
ibirapitanga,28,Ibirapitanga
buerarema,28,Buerarema
novavicosa,28,Nova Vicosa
botupora,28,Botupora
riodopires,28,Rio Do Pires
conceiçaodocoité,28,Conceicao Do Coite
brejodamadrededeus,28,Brejo Da Madre De Deus
saojosedacoroagrande,28,Sao Jose Da Coroa Grande
matagrande,28,Mata Grande
atalaia,28,Atalaia
saomateusdomaranhao,28,Sao Mateus Do Maranhao
itingadomaranhao,28,Itinga Do Maranhao
tucuruí,28,Tucurui
feijo,28,Feijo
buritialegre,28,Buriti Alegre
montesclarosdegoias,28,Montes Claros De Goias
novacrixas,28,Nova Crixas
saofranciscodoguapore,28,Sao Francisco Do Guapore
juruena,28,Juruena
santacarmem,28,Santa Carmem
poxoreu,28,Poxoreu
bataypora,28,Bataypora
maripa,28,Maripa
california,28,California
novacantu,28,Nova Cantu
sideropolis,28,Sideropolis
trombudocentral,28,Trombudo Central
riodooeste,28,Rio Do Oeste
pinheiropreto,28,Pinheiro Preto
guarujadosul,28,Guaruja Do Sul
picadacafe,28,Picada Cafe
capeladesantana,28,Capela De Santana
caçapavadosul,28,Cacapava Do Sul
lavrasdosul,28,Lavras Do Sul
camponovo,28,Campo Novo
santoantôniodeposse,27,Santo Antonio De Posse
arealva,27,Arealva
reginopolis,27,Reginopolis
iaras,27,Iaras
joaoramalho,27,Joao Ramalho
congonhasdonorte,27,Congonhas Do Norte
sapucai-mirim,27,Sapucai-Mirim
pirajuba,27,Pirajuba
guimarania,27,Guimarania
graomogol,27,Grao Mogol
felisburgo,27,Felisburgo
palmopolis,27,Palmopolis
saogoncalodoscampos,27,Sao Goncalo Dos Campos
taperoa,27,Taperoa
mucuge,27,Mucuge
itatim,27,Itatim
lencois,27,Lencois
iraquara,27,Iraquara
pilaoarcado,27,Pilao Arcado
brotasdemacaubas,27,Brotas De Macaubas
fatima,27,Fatima
coroneljoaosa,27,Coronel Joao Sa
umbauba,27,Umbauba
campodobrito,27,Campo Do Brito
vitóriadesantoantao,27,Vitoria De Santo Antao
pombos,27,Pombos
condado,27,Condado
fronteiras,27,Fronteiras
urucui,27,Urucui
governadornunesfreire,27,Governador Nunes Freire
garrafaodonorte,27,Garrafao Do Norte
oiapoque,27,Oiapoque
vicentinopolis,27,Vicentinopolis
doverlandia,27,Doverlandia
quirinópolis,27,Quirinopolis
ipirangadonorte,27,Ipiranga Do Norte
campinapolis,27,Campinapolis
domaquino,27,Dom Aquino
jesuitas,27,Jesuitas
imbuia,27,Imbuia
saudades,27,Saudades
domfeliciano,27,Dom Feliciano
cerrograndedosul,27,Cerro Grande Do Sul
quaraí,27,Quarai
caibate,27,Caibate
santoantoniodojardim,26,Santo Antonio Do Jardim
dobrada,26,Dobrada
taquarivai,26,Taquarivai
riversul,26,Riversul
timburi,26,Timburi
álvaresmachado,26,Álvares Machado
atiliovivacqua,26,Atilio Vivacqua
doresdoriopreto,26,Dores Do Rio Preto
saodomingosdonorte,26,Sao Domingos Do Norte
santaritadoitueto,26,Santa Rita Do Itueto
barralonga,26,Barra Longa
belovale,26,Belo Vale
altojequitiba,26,Alto Jequitiba
altocaparao,26,Alto Caparao
durande,26,Durande
liberdade,26,Liberdade
heliodora,26,Heliodora
arceburgo,26,Arceburgo
saojosedabarra,26,Sao Jose Da Barra
abadiadosdourados,26,Abadia Dos Dourados
varzelandia,26,Varzelandia
ataleia,26,Ataleia
cachoeiradepajeu,26,Cachoeira De Pajeu
baixagrande,26,Baixa Grande
joaodourado,26,Joao Dourado
itanhem,26,Itanhem
capela,26,Capela
saocaitano,26,Sao Caitano
fazendanova,26,Fazenda Nova
jucurutu,26,Jucurutu
altodorodrigues,26,Alto Do Rodrigues
aquiraz,26,Aquiraz
marco,26,Marco
campossales,26,Campos Sales
barro,26,Barro
mombaca,26,Mombaca
pioix,26,Pio Ix
maracacume,26,Maracacume
vitoriadomearim,26,Vitoria Do Mearim
mirandadonorte,26,Miranda Do Norte
medicilandia,26,Medicilandia
senamadureira,26,Sena Madureira
carmodorioverde,26,Carmo Do Rio Verde
terranovadonorte,26,Terra Nova Do Norte
guialopesdalaguna,26,Guia Lopes Da Laguna
alcinopolis,26,Alcinopolis
novalaranjeiras,26,Nova Laranjeiras
conselheiromairinck,26,Conselheiro Mairinck
saojorgedoivai,26,Sao Jorge Do Ivai
tuneirasdooeste,26,Tuneiras Do Oeste
bomretiro,26,Bom Retiro
meleiro,26,Meleiro
ouro,26,Ouro
boqueiraodoleao,26,Boqueirao Do Leao
manoelviana,26,Manoel Viana
ibirubá,26,Ibiruba
rodeiobonito,26,Rodeio Bonito
fontouraxavier,26,Fontoura Xavier
davidcanabarro,26,David Canabarro
taiacu,25,Taiacu
mendonca,25,Mendonca
pontesgestal,25,Pontes Gestal
catigua,25,Catigua
boraceia,25,Boraceia
santoanastácio,25,Santo Anastacio
laranjadaterra,25,Laranja Da Terra
novauniao,25,Nova Uniao
periquito,25,Periquito
moeda,25,Moeda
domsilverio,25,Dom Silverio
cláudio,25,Claudio
domjoaquim,25,Dom Joaquim
senhoradosremedios,25,Senhora Dos Remedios
monsenhorpaulo,25,Monsenhor Paulo
aiuruoca,25,Aiuruoca
ipiacu,25,Ipiacu
riachodosmachados,25,Riacho Dos Machados
carai,25,Carai
pavao,25,Pavao
governadormangabeira,25,Governador Mangabeira
itirucu,25,Itirucu
guaratinga,25,Guaratinga
saofelixdocoribe,25,Sao Felix Do Coribe
novotriunfo,25,Novo Triunfo
adustina,25,Adustina
amaraji,25,Amaraji
ipubi,25,Ipubi
buique,25,Buique
itapetim,25,Itapetim
cuite,25,Cuite
coremas,25,Coremas
jardimdoserido,25,Jardim Do Serido
massape,25,Massape
ubajara,25,Ubajara
altosanto,25,Alto Santo
barras,25,Barras
saoraimundodasmangabeiras,25,Sao Raimundo Das Mangabeiras
canaadoscarajás,25,Canaa Dos Carajas
itapirapua,25,Itapirapua
uruana,25,Uruana
niquelândia,25,Niquelandia
guajará-mirim,25,Guajara-Mirim
novabrasilandiad'oeste,25,Nova Brasilandia D'Oeste
